id,date,country,event_type,disinfo_subtype,threat_level,headline,summary,actors,platforms,spread,disinfo_narratives,related_events,disinfo_confidence,detection_method,content_observed,narrative_families,event_id,_original_summary,_review_notes,_reviewed,observation_count,last_observation,source_urls,narrative_family,countries,keywords,reclassification_note,reclassified_from,reclassified_date,extracted_claims,research_sources,_reclassified_from,status,reach_data,_original_headline,disinfo_justification,source_basis,verification_status,ve_related,al_shabaab_related,tags,data_source,detected_by,detection_timestamp,last_seen,intensity_trend,countries_affected,origin,online_dynamics
SOM-2025-041,2025-01-02,Somalia,CONTEXT,,P2 HIGH,Tech Against Terrorism issues call for stronger anti-terrorist website enforcement; cites UN Security Council recognition for Somalia work,"Tech Against Terrorism published analysis in January 2025 calling for international frameworks to stop terrorist-operated websites, specifically citing al-Shabaab as Africa's most prolific creator of terrorist online content. The organization's work supporting Somalia's government against al-Shabaab's online presence was formally recognized in UN Security Council Resolution 2713.","['Tech Against Terrorism', 'UN Security Council', 'Somalia government (NISA)', 'Telegram', 'Social media platforms']","['Telegram', 'Facebook', 'TikTok', 'Twitter/X', 'Chirpwire', 'RocketChat']",6,[],[],MEDIUM,meta_monitoring,False,"[{'family': 'Counter-Narrative Response', 'intensity': 2, 'calibrated': True, 'calibration_note': 'Confirmed at 2 by LLM-as-judge calibration'}, {'family': 'Social Media Expansion', 'intensity': 2, 'calibrated': True, 'calibration_note': 'Confirmed at 2 by LLM-as-judge calibration'}]",SOM-2025-041,"In early January 2025, Tech Against Terrorism published analysis calling for an international framework to stop terrorist-operated websites, citing that al-Shabaab is Africa's most prolific creator of terrorist online content. Tech Against Terrorism's work was recognized in UN Security Council Resolution 2713, which encouraged its support of Somalia's government in confronting al-Shabaab's online presence. The organization noted that in any given week, 20-25% of all terrorist content found on the internet is likely created by al-Shabaab. The Somali government's efforts to take down al-Shabaab content served as a benchmark example, though the Telegram/TikTok ban (August 2023) remained poorly enforced.",Important policy development as international bodies recognize the need for coordinated action against terrorist digital infrastructure in East Africa.,2026-03-19T07:53:38.674747+00:00,0,,https://techagainstterrorism.org/news/beyond-content-moderation-the-urgent-need-to-stop-terrorist-operated-websites; https://ctc.westpoint.edu/the-online-frontline-decoding-al-shabaabs-social-media-strategy/,,,,,,,,,,,,,,,,,,,,,,,,,,
EXT-2025-001,2025-01-07,Regional,CONTEXT,,P1 CRITICAL,"Meta Ends Third-Party Fact-Checking Program, Raising Africa Disinformation Risk","Meta CEO Mark Zuckerberg announced the elimination of third-party fact-checking programs on Facebook, Instagram, and Threads, replacing them with user-generated 'Community Notes.' Civil society groups across Africa immediately warned this change would amplify disinformation in conflict zones including Somalia, South Sudan, and Kenya, where social media serves as a primary news source.","['Meta', 'Mark Zuckerberg']","['Facebook', 'Instagram', 'Threads']",3,['NAR-SS-004'],"['EXT-2025-034', 'EXT-2026-005']",MEDIUM,meta_monitoring,False,"[{'family': 'Platform Governance', 'intensity': 2, 'calibrated': True, 'calibration_note': 'Adjusted from 5 to 2 (delta -3) by LLM-as-judge calibration'}, {'family': 'Platform Governance', 'intensity': 2, 'calibrated': True, 'calibration_note': 'Adjusted from 5 to 2 (delta -3) by LLM-as-judge calibration'}]",EXT-2025-001,"Meta CEO Mark Zuckerberg announced the elimination of the third-party fact-checking programme on Facebook, Instagram, and Threads, replacing it with user-generated 'Community Notes.' Civil society and digital rights groups across Africa immediately warned that the change would amplify disinformation in conflict zones including Somalia, South Sudan, and Kenya, where social media is a primary news source and local-language moderation is already inadequate. Meta's decision was tied to its political alignment with the incoming Trump administration and had no accompanying plan for African-language coverage.",Critical infrastructure change that could significantly impact disinformation spread across East African conflict zones where platform oversight is already limited.,2026-03-19T07:53:38.674760+00:00,0,,https://cipesa.org/2025/01/what-does-metas-about-turn-on-content-moderation-bode-for-africa/; https://www.eff.org/deeplinks/2025/01/metas-new-content-policy-will-harm-vulnerable-users-if-it-really-valued-free; https://techpolicy.press/meta-discards-factchecking-the-fragile-future-of-digital-integrity-in-africa,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM-2025-001,2025-01-08,Somalia,CONTEXT,,P1 CRITICAL,Puntland launches major Operation Hilaac against ISIS in Cal Miskaad Mountains,"Puntland Security Forces launched an intensified campaign in January 2025 to block all escape routes from ISIS militants hiding in the Al Miskaad mountain range, capturing foreign fighters from Ethiopia, Yemen, and Tanzania and destroying dozens of bases. ISIS reacted with drone strikes on Puntland forces — the first recorded use of explosive-laden drones by ISS — and published denial propaganda in its weekly al-Naba newspaper mocking 'imaginary victories.' IS-Somalia's Manjaniq Media and Al Hijraytain Radio (broadcasting in Somali, Oromo, and Amharic) simultaneously ramped up online recruitment and fundraising via Telegram, targeting Ethiopian and Kenyan Muslims.","['Islamic State Somalia (ISS)', 'Puntland Security Forces (PSF)', 'Puntland Dervish Forces', 'U.S. AFRICOM (observer/support)']","['Telegram', 'Al-Naba newspaper', 'Al Hijraytain Radio']",3,['NAR-SO-004'],"['EXT-2025-006', 'EXT-2025-007', 'EXT-2025-028', 'SOM-2025-002', 'SOM-2025-003', 'SOM-2025-004', 'SOM-2025-021', 'SOM-2025-033', 'SOM-2025-036', 'SOM-2025-037', 'SOM-2025-043', 'SOM-2025-045', 'SOM-2026-001', 'SOM-2026-010', 'SOM-2026-011']",,meta_monitoring,False,"[{'family': 'Religious Justification', 'intensity': 3, 'calibrated': True, 'calibration_note': 'Confirmed at 3 by LLM-as-judge calibration'}, {'family': 'Anti-Government Narrative', 'intensity': 3, 'calibrated': True, 'calibration_note': 'Confirmed at 3 by LLM-as-judge calibration'}, {'family': 'Recruitment', 'intensity': 2, 'calibrated': True, 'calibration_note': 'Confirmed at 2 by LLM-as-judge calibration'}, {'family': 'Existential Threat', 'intensity': 2, 'calibrated': True, 'calibration_note': 'Confirmed at 2 by LLM-as-judge calibration'}]",SOM-2025-001,,Military escalation with ISIS using new drone capabilities will likely generate competing narratives and propaganda from both sides.,2026-03-19T07:53:38.674763+00:00,0,,https://en.wikipedia.org/wiki/Islamic_State_insurgency_in_Puntland; https://gnet-research.org/2025/05/07/is-wilayah-somalia-digital-propaganda-and-strategy-against-the-puntland-and-its-foreign-allies/; https://www.ujasusi.com/p/tanzanian-isis-fighters-puntland-election-massacres-2026,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN-2025-001,2025-01-09,Kenya,CONTEXT,,P1 CRITICAL,Government critics disappeared after AI-generated political satire; Gideon Kibet among released abductees,"Cartoonist Gideon Kibet ('Bull') and several other critics were abducted after sharing AI-generated images criticizing President Ruto on social media in December 2024; Kibet was released on January 9, 2025, ten days after President Ruto pledged to halt abductions of opponents. CNN reporting confirmed at least 82 government critics had gone missing since June 2024, with some found dead showing signs of torture. The abductions created a severe chilling effect on online expression, particularly targeting those who shared AI-generated satirical imagery of the president.","['Kenya National Police Service', 'National Intelligence Service (NIS)', 'Directorate of Criminal Investigations (DCI)', 'Government critics/activists']","['Facebook', 'X (Twitter)', 'Instagram']",3,[],[],MEDIUM,meta_monitoring,False,"[{'family': 'Delegitimization', 'intensity': 4, 'calibrated': True, 'calibration_note': 'Confirmed at 4 by LLM-as-judge calibration'}, {'family': 'Existential Threat', 'intensity': 4, 'calibrated': True, 'calibration_note': 'Confirmed at 4 by LLM-as-judge calibration'}, {'family': 'Misinformation/Disinformation', 'intensity': 3, 'calibrated': True, 'calibration_note': 'Confirmed at 3 by LLM-as-judge calibration'}]",KEN-2025-001,,"Demonstrates escalating government response to AI-generated political content, indicating potential future restrictions on digital expression tools.",2026-03-19T07:53:38.674764+00:00,0,,https://www.cnn.com/2025/01/09/africa/kenya-government-critics-intl; https://www.aljazeera.com/features/2025/3/4/very-worrying-fear-stalks-kenya-as-dozens-of-government-critics-abducted,,,,,,,,,,,,,,,,,,,,,,,,,,
EXT-2025-035,2025-01-14,Kenya,CONTEXT,,P2 HIGH,Network of Paid Kenya Government Bloggers Operates to Manufacture X Trends and Suppress Protest Voices,"Amnesty International documented testimony from a self-identified member of Kenya's government troll network ('John') confirming a coordinated network of approximately 20 paid operatives earning KES 25,000-50,000 per day to manufacture pro-government trends on X and drown out protest narratives. The network operated continuously from at least January 2025 through July 2025, deploying counter-hashtags (e.g., #RutoMustGoOn vs. #RutoMustGo), mass-identical message posting, and coordinated harassment campaigns. Specific April 2025 campaigns targeted Somali-Kenyan journalist Hanifa Adan after her BBC 'Blood Parliament' interview using Islamophobic imagery — representing intersection of domestic political trolling with anti-minority hate speech.","['Kenya government troll network', 'State House Kenya (suspected)', 'Individual paid operators', ""@MurimiJeff_ — 'patient zero' account for #ToxicActivists, previously pushed #BoldRuto"", '@essy_2128 — posted 226 times under #AsanteSamia', '@tonymkenya7 — posted 140 times under #AsanteSamia', '@darsil254 — posted 104 times under #ShunFakeActivismKE', ""Unspecified 'patient zero' accounts for pro-government hashtags""]","['X (Twitter)', 'TikTok', 'WhatsApp']",3,['NAR-KE-003a'],[],HIGH,meta_monitoring,False,"[{'family': 'Kenya Pro-Government Troll Infrastructure', 'intensity': 4, 'calibrated': True, 'calibration_note': 'Confirmed at 4 by LLM-as-judge calibration'}, {'family': 'Anti-Activist Islamophobic Narratives', 'intensity': 4, 'calibrated': True, 'calibration_note': 'Confirmed at 4 by LLM-as-judge calibration'}]",EXT-2025-035,,Documented evidence of systematic government information manipulation operations with specific financial incentives and operational details.,2026-03-19T07:53:38.674767+00:00,0,,https://www.amnesty.org/en/latest/news/2025/11/kenyan-weaponized-social-media-and-digital-tools-to-suppress-gen-z-protests/,,,,"Report about paid troll network — the disinfo is what the trolls SAY, not the report itself",DISINFO,2026-03-16,"['Government troll network manufactures pro-government trends', 'Network earns KES 25,000-50,000 per day for manipulation operations']","['https://www.amnesty.org/en/wp-content/uploads/2025/11/AFR3204712025ENGLISH.pdf', 'https://www.amnesty.org/en/latest/news/2025/11/kenyan-weaponized-social-media-and-digital-tools-to-suppress-gen-z-protests/', 'https://www.amnestyusa.org/press-releases/kenya-authorities-weaponized-social-media-and-digital-tools-to-suppress-gen-z-protests/', 'https://www.bbc.com/news/articles/c3vngv60l0qo', 'https://factcheck.afp.com/doc.afp.com.727J6KF']",,,,,,,,,,,,,,,,,,
SSD-2025-001,2025-01-15,South Sudan,DISINFO,,P2 HIGH,Anti-Sudanese riots erupt in Juba and Aweil after reports of killings in Sudan,"Videos circulating on social media allegedly showing South Sudanese civilians killed by Sudanese Armed Forces in Wad Madani triggered violent riots in Juba and Aweil, with armed youth attacking Sudanese-owned businesses and killing at least nine people. This represents the first documented case of Sudan's conflict violence spilling over into South Sudan through inflammatory social media content.","['South Sudanese youth/mobs', 'Sudanese traders and residents', 'South Sudan Police Service', 'National Security Service (NSS)']","['Facebook', 'TikTok', 'WhatsApp']",3,['NAR-SS-004'],[],MEDIUM,meta_monitoring,False,"[{'family': 'Collective Blame', 'intensity': 4, 'calibrated': True, 'calibration_note': 'Adjusted from 5 to 4 (delta -1) by LLM-as-judge calibration'}, {'family': 'Revenge/Retribution', 'intensity': 4, 'calibrated': True, 'calibration_note': 'Adjusted from 5 to 4 (delta -1) by LLM-as-judge calibration'}, {'family': 'Existential Threat', 'intensity': 3, 'calibrated': True, 'calibration_note': 'Confirmed at 3 by LLM-as-judge calibration'}, {'family': 'Victimhood/Grievance', 'intensity': 3, 'calibrated': True, 'calibration_note': 'Adjusted from 4 to 3 (delta -1) by LLM-as-judge calibration'}]",SSD-2025-001,"Videos circulating on Facebook and TikTok of South Sudanese civilians allegedly killed by the Sudanese Armed Forces and allied militias in Wad Madani (El Gezira state) triggered retaliatory mob violence in Juba and Aweil. Armed youth looted and burned Sudanese-owned businesses; at least nine people were killed and seven injured. The riots represent the first documented violent spillover of Sudan's civil war into South Sudan, driven by viral social-media content.","This appears to be disinformation content (unverified videos) directly causing real-world violence, not just reporting about disinformation activities.",2026-03-19T07:54:03.400303+00:00,0,,https://www.reuters.com/world/africa/south-sudan-imposes-curfew-after-sudan-killings-trigger-riots-2025-01-17/; https://peacerep.org/2025/01/21/the-first-violent-spillover-sudans-war-ignites-violence-in-south-sudan/; https://reliefweb.int/report/south-sudan/south-sudan-civil-unrest-2025-dref-final-report-mdrss016,,,,,,,['South Sudanese civilians killed by Sudanese Armed Forces and allied militias in Wad Madani'],,CONTEXT,resolved,,,,,,,,,,,,,,,,
SOM-2025-042,2025-01-15,Somalia,CONTEXT,,P2 HIGH,BBC report: 'Somalilanders are smitten with Trump' — Project 2025 Somaliland recognition plans spark Somali government alarm,"BBC reporting on Somaliland's enthusiasm for Trump's potential recognition plans has amplified tensions, with Project 2025 explicitly calling for US recognition to counter Chinese influence. Somalia's government has publicly warned that any recognition would violate sovereignty and destabilize the region, while diaspora communities mobilize online around the recognition debate.","['Somaliland government', 'Somalia Federal Government', 'Trump administration', 'Heritage Foundation (Project 2025)', 'Somali diaspora']","['Twitter/X', 'Facebook', 'YouTube', 'BBC', 'Somali news websites']",5,['NAR-SO-002'],[],MEDIUM,meta_monitoring,False,"[{'family': 'Existential Threat', 'intensity': 3, 'calibrated': True, 'calibration_note': 'Adjusted from 4 to 3 (delta -1) by LLM-as-judge calibration'}, {'family': 'Delegitimization', 'intensity': 3, 'calibrated': True, 'calibration_note': 'Adjusted from 4 to 3 (delta -1) by LLM-as-judge calibration'}, {'family': 'Misinformation/Disinformation', 'intensity': 2, 'calibrated': True, 'calibration_note': 'Adjusted from 3 to 2 (delta -1) by LLM-as-judge calibration'}, {'family': 'Ethnic Incitement', 'intensity': 2, 'calibrated': True, 'calibration_note': 'Confirmed at 2 by LLM-as-judge calibration'}]",SOM-2025-042,"A January 2025 BBC report documented strong Somaliland pro-recognition sentiment ahead of Trump's inauguration, as Project 2025 explicitly called for US recognition of Somaliland to counter Chinese influence in Djibouti. Somalia's government publicly warned that 'any step towards acknowledging Somaliland's independence would violate Somalia's sovereignty and destabilize the region.' Somalia's ambassador to the US stated recognition would 'only embolden extremists and threaten the stability of the entire Horn of Africa.' This politicized discourse created an online environment ripe for disinformation, with competing narratives about recognition implications dominating Somali social media months before Israel's actual recognition in December 2025.",Legitimate reporting creating information environment tensions around Somaliland recognition - context rather than disinformation content itself.,2026-03-19T07:54:03.400318+00:00,0,,https://www.bbc.com/news/articles/cp3j1qn0499o; https://happymediummag.com/2025/11/01/implications-of-u-s-recognition-of-somaliland/,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN-2025-002,2025-01-20,Kenya,DISINFO,incitement,P2 HIGH,#43against1 campaign pits rest of Kenya against Kikuyu community online,"Coordinated hashtag campaign #43against1 emerged on X between January 20–25, 2025, framing Kikuyu voters as complicit in their community's alleged political capture under President Ruto. Nation Africa's year-end analysis identified this as one of the clearest early signals of 2027 ethnic mobilization campaigns. The narrative reactivated longstanding Luo-Kikuyu fault lines and was amplified through cross-platform influence operations.","['Political operatives', 'Unidentified coordinated accounts', 'Opposition-aligned influencers', 'Unnamed coordinated bot network accounts (many with same creation dates)', 'Campaign targeted Gachagua and his political allies']","['X (Twitter)', 'Facebook', 'WhatsApp']",3,['NAR-KE-004'],[],MEDIUM,meta_monitoring,False,"[{'family': 'Ethnic Incitement', 'intensity': 4, 'calibrated': True, 'calibration_note': 'Adjusted from 5 to 4 (delta -1) by LLM-as-judge calibration'}, {'family': 'Victimhood/Grievance', 'intensity': 3, 'calibrated': True, 'calibration_note': 'Adjusted from 4 to 3 (delta -1) by LLM-as-judge calibration'}, {'family': 'Collective Blame', 'intensity': 3, 'calibrated': True, 'calibration_note': 'Confirmed at 3 by LLM-as-judge calibration'}]",KEN-2025-002,,Coordinated ethnic mobilization campaign using historical grievances - early indicator of 2027 election disinformation strategies.,2026-03-19T07:54:03.400323+00:00,0,,https://nation.africa/kenya/news/deepfakes-hashtags-and-hate-the-2025-online-disinformation-threatening-kenya-s-2027-polls--5310674; https://www.linkedin.com/posts/dailynation_deepfakes-hashtags-and-hate-the-2025-online-activity-7411287359293390848-mYJd,,,,,,,['Kikuyu community complicit in political capture under President Ruto'],"['https://streamlinefeed.co.ke/news/the-war-before-the-vote-inside-the-ai-disinformation-machine-targeting-2027', 'https://nation.africa/kenya/news/deepfakes-hashtags-and-hate-the-2025-online-disinformation-threatening-kenya-s-2027-polls--5310674']",,resolved,"{'views': None, 'mentions': None, 'impressions': None, 'engagement': None, 'trend_duration': '5 days', 'notes': ""Specific post counts and impressions not published in available reports. Described as reaching 'millions in hours' by NCIC source.""}",,,,,,,,,,,,,,,
SSD-2025-002,2025-01-22,South Sudan,CONTEXT,,P2 HIGH,NCA orders blanket 30-day ban on social media platforms citing violence-related content,South Sudan's National Communications Authority ordered a 30-day ban on Facebook and TikTok citing spread of graphic content about South Sudanese killings in Sudan. The ban was quickly reversed following immediate civil society outcry from Amnesty International and the Internet Society South Sudan Chapter.,"['National Communications Authority (NCA)', 'Internet Service Providers', 'Internet Society South Sudan Chapter', 'Amnesty International']","['Facebook', 'TikTok', 'National internet infrastructure']",3,['NAR-SS-004'],[],MEDIUM,meta_monitoring,False,"[{'family': 'Delegitimization', 'intensity': 3, 'calibrated': True, 'calibration_note': 'Adjusted from 4 to 3 (delta -1) by LLM-as-judge calibration'}, {'family': 'Misinformation/Disinformation', 'intensity': 3, 'calibrated': True, 'calibration_note': 'Adjusted from 5 to 3 (delta -2) by LLM-as-judge calibration'}]",SSD-2025-002,"The National Communications Authority (NCA) issued orders to all Internet Service Providers on 22 January 2025 to block TikTok and Facebook for a minimum of 30 days—extendable to 90—citing the spread of graphic content related to killings of South Sudanese in Sudan. Following immediate outcry from civil society, the Internet Society South Sudan Chapter, and Amnesty International, authorities reversed the ban within six days on 27 January. The shutdown cost the economy an estimated USD 8.8 million during the six-day period.",Government censorship action in response to inflammatory content - demonstrates state capacity concerns about social media's role in violence escalation.,2026-03-19T07:54:03.400327+00:00,0,,https://www.amnesty.org/en/documents/afr65/8600/2025/en/; https://apnews.com/article/sudan-south-sudan-violence-social-media-ban-3ee3235942478fd8f2fa47b14015b84c; https://www.internetsociety.org/blog/2025/03/how-the-south-sudan-chapter-mobilized-to-keep-the-internet-on/,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM-2025-002,2025-02-01,Somalia,CONTEXT,,P2 HIGH,Trump's first Somalia airstrike kills senior ISIS-Somalia commander and 46 fighters,"At President Trump's direction, AFRICOM conducted its first airstrike of his second term on February 1, targeting ISIS-Somalia operatives in the Golis Mountains near Bossaso. Ten strikes targeted cave systems and killed 46 fighters including the deputy to ISIS-Somalia leader Abdul Qadir Mumin, the head of the group's training, and a key recruiter/financier. Secretary of Defense Hegseth personally confirmed the strike, framing it as part of a broader counterterrorism doctrine. This marked the start of a dramatic escalation in US airstrikes that would eventually reach 109+ in 2025 and 26 in January 2026 alone.","['U.S. AFRICOM', 'Trump administration', 'ISIS-Somalia', 'Puntland Security Forces']","['Official press releases', 'Social media (government)', 'Telegram (ISIS response)']",3,[],"['EXT-2025-006', 'EXT-2025-007', 'EXT-2025-028', 'SOM-2025-001', 'SOM-2025-003', 'SOM-2025-004', 'SOM-2025-021', 'SOM-2025-033', 'SOM-2025-036', 'SOM-2025-037', 'SOM-2025-043', 'SOM-2025-045', 'SOM-2026-001', 'SOM-2026-010', 'SOM-2026-011', 'SOM-2025-002-DI']",,meta_monitoring,False,"[{'family': 'Victimhood/Grievance', 'intensity': 2, 'calibrated': True, 'calibration_note': 'Confirmed at 2 by LLM-as-judge calibration'}, {'family': 'Anti-Government Narrative', 'intensity': 2, 'calibrated': True, 'calibration_note': 'Confirmed at 2 by LLM-as-judge calibration'}, {'family': 'Existential Threat', 'intensity': 2, 'calibrated': True, 'calibration_note': 'Adjusted from 3 to 2 (delta -1) by LLM-as-judge calibration'}]",SOM-2025-002,,Military action against ISIS-Somalia likely to trigger propaganda responses and recruitment narratives - monitor for disinformation countermeasures.,2026-03-19T07:54:03.400331+00:00,0,,https://defenceweb.co.za/african-news/africom-carries-out-first-trump-directed-airstrike-on-isis-somalia/; https://www.africom.mil/pressrelease/36181/us-forces-conduct-airstrikes-targeting-isis-somalia,,,,,,,,,,,,,,,,,,,,,,,,,,
